136,6,Roundabout,2
137,3,Single carriageway,5
182,4,Slip road,5
122,3,Single carriageway,3
142,6,Dual carriageway,4
2,4,One way street,3
203,4,Single carriageway,4
38,3,Roundabout,4
220,5,Roundabout,4
71,1,Slip road,2
223,6,One way street,-1
126,5,Unknown,4
26,5,Slip road,4
56,1,Single carriageway,4
130,5,One way street,4
31,5,Single carriageway,6
216,5,Roundabout,1
221,2,One way street,5
150,5,Unknown,-1
77,5,One way street,3
81,4,Slip road,1
99,6,Roundabout,4
170,4,Slip road,4
202,6,Slip road,4
111,2,Slip road,4
80,3,Slip road,2
29,4,Slip road,-1
200,5,Unknown,3
82,2,One way street,1
206,3,One way street,1
219,3,Dual carriageway,2
19,2,Dual carriageway,5
145,2,Roundabout,3
204,2,Unknown,-1
39,5,Slip road,-1
191,1,One way street,-1
62,3,Dual carriageway,-1
79,5,Roundabout,6
45,6,Roundabout,3
33,1,Roundabout,6
198,2,Roundabout,6
54,1,Single carriageway,2
157,5,One way street,5
66,2,Dual carriageway,3
151,6,Roundabout,-1
138,6,Slip road,5
15,2,One way street,6
205,5,Dual carriageway,-1
159,4,Dual carriageway,3
144,1,Roundabout,-1
72,1,Dual carriageway,5
6,5,Single carriageway,-1
25,6,Roundabout,5
88,1,Roundabout,4
128,2,Single carriageway,3
168,4,Dual carriageway,4
131,1,One way street,4
43,6,Unknown,4
215,3,One way street,-1
187,4,Unknown,-1
199,3,Unknown,5
16,1,Roundabout,5
172,1,Slip road,4
55,2,Single carriageway,6
75,4,Slip road,6
231,4,Unknown,4
163,3,Roundabout,3
193,4,Single carriageway,2
23,4,One way street,-1
100,2,Dual carriageway,6
95,5,Single carriageway,3
14,6,Dual carriageway,5
224,4,Dual carriageway,6
141,1,Dual carriageway,4
108,1,Unknown,-1
64,5,Slip road,3
13,2,Roundabout,4
101,4,Single carriageway,1
222,1,Unknown,5
186,3,Single carriageway,6
149,5,Single carriageway,2
58,3,Dual carriageway,3
174,5,Unknown,5
109,1,Dual carriageway,-1
1,5,Unknown,6
41,5,Single carriageway,1
134,6,One way street,5
173,2,Roundabout,1
10,6,Single carriageway,3
84,1,Slip road,1
147,1,Dual carriageway,6
4,2,One way street,3
98,3,Dual carriageway,4
212,4,Roundabout,6
175,6,Single carriageway,5
17,3,Slip road,6
119,6,Unknown,5
166,3,Unknown,-1
113,3,Unknown,4
22,3,One way street,3
30,4,Roundabout,2
67,1,Single carriageway,6
20,6,Slip road,2
143,2,Slip road,2
117,2,Slip road,6
233,1,Unknown,6
57,3,Single carriageway,4
234,4,Slip road,2
89,5,Roundabout,-1
229,5,Dual carriageway,3
103,6,Unknown,2
197,3,Roundabout,-1
188,2,Single carriageway,4
53,5,Slip road,1
110,2,Dual carriageway,4
60,4,Dual carriageway,-1
125,2,Roundabout,-1
177,5,One way street,6
48,6,Dual carriageway,-1
232,3,Dual carriageway,5
184,2,One way street,-1
208,2,Unknown,2
156,3,Roundabout,1
102,2,Single carriageway,1
195,3,Unknown,3
120,6,Unknown,1
74,3,One way street,6
127,6,Dual carriageway,1
176,4,Roundabout,4
44,1,Dual carriageway,2
116,3,Slip road,3
196,2,Dual carriageway,1
210,4,Single carriageway,5
189,1,Unknown,3
27,1,Single carriageway,5
152,1,One way street,1
59,5,Roundabout,5
115,4,Roundabout,5
214,3,Slip road,1
61,6,Slip road,1
154,6,One way street,4
201,5,Dual carriageway,6
51,1,Roundabout,2
213,3,One way street,4
73,5,Slip road,6
52,1,Unknown,1
230,6,Dual carriageway,3
69,4,Single carriageway,-1
49,6,Unknown,3
96,3,One way street,2
18,5,Roundabout,2
65,1,Single carriageway,-1
28,4,Dual carriageway,5
171,2,Slip road,-1
185,2,Roundabout,2
106,6,Single carriageway,-1
78,1,Single carriageway,3
47,1,Slip road,5
37,4,Single carriageway,3
192,5,One way street,-1
207,6,One way street,6
118,6,Slip road,6
63,5,Roundabout,3
165,4,Roundabout,1
104,4,Slip road,3
70,3,Roundabout,2
112,6,Dual carriageway,2
180,6,One way street,1
160,3,Unknown,6
209,6,Single carriageway,6
90,5,Single carriageway,5
179,1,One way street,2
107,4,Single carriageway,6
32,4,Dual carriageway,2
133,2,Single carriageway,2
3,4,One way street,6
94,4,Dual carriageway,1
139,5,Single carriageway,4
121,6,Single carriageway,4
217,4,Unknown,5
35,5,Dual carriageway,1
161,4,One way street,4
225,6,Dual carriageway,6
21,3,Roundabout,6
7,1,Dual carriageway,3
164,6,Unknown,-1
194,2,Unknown,3
50,2,Dual carriageway,2
132,4,Roundabout,-1
167,2,Slip road,5
86,6,Roundabout,1
129,3,Single carriageway,-1
211,1,Slip road,-1
146,1,Dual carriageway,1
83,3,Roundabout,5
76,1,Slip road,6
92,5,Dual carriageway,5
183,3,Unknown,1
228,3,Slip road,-1
40,2,Single carriageway,-1
91,2,Slip road,1
11,3,Unknown,2
162,5,Dual carriageway,4
155,4,Roundabout,3
12,6,Single carriageway,1
169,3,Dual carriageway,6
124,6,One way street,3
105,1,Roundabout,1
158,1,Slip road,3
190,1,Roundabout,3
87,3,Dual carriageway,1
8,6,Slip road,3
153,2,Unknown,6
178,3,Single carriageway,1
97,3,Single carriageway,2
68,6,Single carriageway,2
93,4,One way street,5
135,4,Unknown,6
85,2,One way street,2
24,6,Slip road,-1
46,3,One way street,5
123,4,Unknown,3
181,6,Unknown,6
5,1,One way street,3
227,2,Single carriageway,5
140,1,Single carriageway,1
218,5,Slip road,5
34,6,Roundabout,6
148,2,Dual carriageway,-1
226,2,Slip road,3
9,3,Slip road,4
114,3,Slip road,5
42,1,One way street,6
36,1,Unknown,4
