ONS Code,Highway Authority,Sub-Group
S12000033,Aberdeen City,C5
S12000034,Aberdeenshire,E10
S12000041,Angus,E10
S12000035,Argyll and Bute,E10
E09000002,Barking and Dagenham London Borough,B3
E09000003,Barnet London Borough,B3
E08000016,Barnsley Metropolitan Borough,C6
E06000022,Bath and North East Somerset,D8
E06000055,Bedford Borough,D8
E09000004,Bexley London Borough,B3
E08000025,Birmingham City,B3
E06000008,Blackburn with Darwen Borough,C5
E06000009,Blackpool,B2
W06000019,Blaenau Gwent County Borough,C5
E08000001,Bolton Metropolitan Borough,C4
E06000028,Bournemouth Borough,B2
E06000036,Bracknell Forest,C5
E08000032,Bradford Metropolitan Borough,C5
E09000005,Brent London Borough,A1
W06000013,Bridgend County Borough,C6
E06000043,Brighton and Hove City,B3
E06000023,Bristol City,B2
E09000006,Bromley London Borough,C5
E10000002,Buckinghamshire County,D8
E08000002,Bury Metropolitan Borough,C4
W06000018,Caerphilly County Borough,C6
E08000033,Calderdale,C6
E10000003,Cambridgeshire County,D9
E09000007,Camden London Borough,A1
W06000015,Cardiff,C4
W06000010,Carmarthenshire County,D9
E06000056,Central Bedfordshire,D8
W06000008,Ceredigion County,D9
E06000049,Cheshire East,D8
E06000050,Cheshire West and Chester,D8
E09000001,City of London,A1
S12000005,Clackmannanshire,D8
W06000003,Conwy County Borough,D9
E06000052,Cornwall,D9
E08000026,Coventry City,B3
E09000008,Croydon London Borough,B3
E10000006,Cumbria County,E10
E06000005,Darlington Borough,D7
W06000004,Denbighshire County,D9
E06000015,Derby City,B3
E10000007,Derbyshire County,D8
E10000008,Devon County,D9
E08000017,Doncaster,D7
E10000009,Dorset County,D8
E08000027,Dudley Metropolitan Borough,B2
S12000006,Dumfries and Galloway,E10
S12000042,Dundee City,B2
E06000047,Durham County,D8
E09000009,Ealing London Borough,A1
S12000008,East Ayrshire,E10
S12000009,East Dunbartonshire,D7
S12000010,East Lothian,D9
S12000011,East Renfrewshire,D7
E06000011,East Riding of Yorkshire,D9
E10000011,East Sussex County,D8
S12000036,Edinburgh City,C5
E09000010,Enfield London Borough,B3
E10000012,Essex County,D8
S12000014,Falkirk,C6
S12000015,Fife,D8
W06000005,Flintshire County,D8
E08000020,Gateshead,C4
S12000043,Glasgow City,B2
E10000013,Gloucestershire County,D8
E09000011,Greenwich London Borough,A1
W06000002,Gwynedd,E10
E09000012,Hackney London Borough,A1
E06000006,Halton Borough,C4
E09000013,Hammersmith and Fulham London Borough,A1
E10000014,Hampshire County,D7
E09000014,Haringey London Borough,A1
E09000015,Harrow London Borough,B3
E06000001,Hartlepool Borough,C5
E09000016,Havering London Borough,C5
E06000019,Herefordshire,D9
E10000015,Hertfordshire County,D7
S12000017,Highland,E10
E09000017,Hillingdon London Borough,B3
E09000018,Hounslow London Borough,B3
S12000018,Inverclyde,D7
W06000001,Isle of Anglesey County,D9
E06000046,Isle of Wight,D8
E09000019,Islington London Borough,A1
