A635,PU,Trunk/Principal Road
A3400,PR,Trunk/Principal Road
A523,PU,Trunk/Principal Road
A4025,PR,Trunk/Principal Road
A5151,PR,Trunk/Principal Road
A879,PR,Trunk/Principal Road
A880,PR,Trunk/Principal Road
M20,TM,Motorways
A262,PR,Trunk/Principal Road
A361,PR,Trunk/Principal Road
A581,PR,Trunk/Principal Road
A5115,PU,Trunk/Principal Road
A67,PR,Trunk/Principal Road
A2216,PU,Trunk/Principal Road
A2015,PU,Trunk/Principal Road
A414,PR,Trunk/Principal Road
A427,PU,Trunk/Principal Road
A6108,PR,Trunk/Principal Road
A8,PU,Trunk/Principal Road
A9,PR,Trunk/Principal Road
A950,PU,Trunk/Principal Road
A404,PR,Trunk/Principal Road
A538,PU,Trunk/Principal Road
A562,PR,Trunk/Principal Road
A570,TR,Trunk/Principal Road
A5102,PU,Trunk/Principal Road
A5079,PU,Trunk/Principal Road
A1108,PU,Trunk/Principal Road
A1045,PR,Trunk/Principal Road
A4001,PU,Trunk/Principal Road
A1434,PR,Trunk/Principal Road
M621,TM,Motorways
A462,PR,Trunk/Principal Road
A891,PR,Trunk/Principal Road
A8010,PU,Trunk/Principal Road
A228,PR,Trunk/Principal Road
A4183,PR,Trunk/Principal Road
A185,PU,Trunk/Principal Road
A6079,PU,Trunk/Principal Road
A1151,PU,Trunk/Principal Road
A1137,PU,Trunk/Principal Road
A612,PU,Trunk/Principal Road
A6211,PU,Trunk/Principal Road
A510,PU,Trunk/Principal Road
A4038,PU,Trunk/Principal Road
A521,PU,Trunk/Principal Road
A4091,PU,Trunk/Principal Road
A725,PU,Trunk/Principal Road
A904,PR,Trunk/Principal Road
A718,PU,Trunk/Principal Road
A893,TR,Trunk/Principal Road
A132,PU,Trunk/Principal Road
A605,PR,Trunk/Principal Road
A1123,PU,Trunk/Principal Road
A453,TU,Trunk/Principal Road
A633,PR,Trunk/Principal Road
A636,PU,Trunk/Principal Road
A6068,PR,Trunk/Principal Road
A5006,PU,Trunk/Principal Road
A5223,PU,Trunk/Principal Road
A838,PR,Trunk/Principal Road
A762,PR,Trunk/Principal Road
A2040,PU,Trunk/Principal Road
A277,PU,Trunk/Principal Road
A5032,PR,Trunk/Principal Road
A219,PU,Trunk/Principal Road
A1301,PR,Trunk/Principal Road
A6181,PU,Trunk/Principal Road
A6195,PU,Trunk/Principal Road
A5,TR,Trunk/Principal Road
A45,TR,Trunk/Principal Road
A86,TR,Trunk/Principal Road
A857,PR,Trunk/Principal Road
A2038,PU,Trunk/Principal Road
A570,PU,Trunk/Principal Road
A6127,PU,Trunk/Principal Road
A212,PU,Trunk/Principal Road
A2043,PU,Trunk/Principal Road
A1156,PU,Trunk/Principal Road
A1303,PR,Trunk/Principal Road
M62,TM,Motorways
A6055,PR,Trunk/Principal Road
A1(M),TM,Motorways
A650,PR,Trunk/Principal Road
A4440,PR,Trunk/Principal Road
A513,PU,Trunk/Principal Road
A780,PR,Trunk/Principal Road
A759,PR,Trunk/Principal Road
A27,TR,Trunk/Principal Road
A2023,PU,Trunk/Principal Road
A224,PR,Trunk/Principal Road
A579,PR,Trunk/Principal Road
A406,TU,Trunk/Principal Road
A598,PU,Trunk/Principal Road
A314,PU,Trunk/Principal Road
A554,PU,Trunk/Principal Road
A6002,PU,Trunk/Principal Road
A4600,PU,Trunk/Principal Road
A4101,PR,Trunk/Principal Road
A522,PU,Trunk/Principal Road
A547,PR,Trunk/Principal Road
A4065,PU,Trunk/Principal Road
A99,TR,Trunk/Principal Road
A749,PR,Trunk/Principal Road
A355,PU,Trunk/Principal Road
A224,PU,Trunk/Principal Road
A320,PR,Trunk/Principal Road
A685,PR,Trunk/Principal Road
A6099,PU,Trunk/Principal Road
A1148,PU,Trunk/Principal Road
A101,PU,Trunk/Principal Road
A221,PU,Trunk/Principal Road
A125,PU,Trunk/Principal Road
A1112,PU,Trunk/Principal Road
A113,PU,Trunk/Principal Road
A1175,PU,Trunk/Principal Road
A655,PU,Trunk/Principal Road
A1105,PR,Trunk/Principal Road
A6120,PR,Trunk/Principal Road
